[run number],vaccination-rate,removal-rate,claim-rate,number-people,duration,bite-rate,infectiousness,chance-recover,[step],count turtles with [ sick? ],count turtles with [ exposed? ],count turtles with [ immune? ],count turtles,peak-sick,total-infected-ever,total-removed,total-claimed,total-died
121,0,20,50,150,3,73,74,1,156,0,0,13,27,26,124,28,11,17
120,0,20,50,100,3,73,74,1,156,0,0,9,52,11,65,19,9,10
124,0,20,50,150,3,73,74,1,156,0,0,8,11,26,129,29,8,21
123,0,20,50,150,3,73,74,1,156,0,0,8,15,23,137,30,12,18
122,0,20,50,150,3,73,74,1,156,0,0,11,26,18,132,30,13,17
125,0,20,50,150,3,73,74,1,156,0,0,8,28,32,137,29,10,19
128,0,20,50,150,3,73,74,1,156,0,0,10,25,17,133,29,8,21
129,0,20,50,150,3,73,74,1,156,0,0,10,23,33,134,31,12,19
126,0,20,50,150,3,73,74,1,156,0,0,12,27,22,147,31,14,17
127,0,20,50,150,3,73,74,1,156,0,0,6,21,23,124,30,8,22
130,0,20,50,150,3,73,74,1,156,0,0,12,27,23,136,30,16,14
131,0,20,50,150,3,73,74,1,156,0,0,9,21,22,124,29,9,20
132,0,20,50,150,3,73,74,1,156,0,0,14,33,19,131,30,17,13
135,0,20,50,150,3,73,74,1,156,0,0,9,22,24,139,29,7,22
134,0,20,50,150,3,73,74,1,156,0,0,7,24,16,128,31,7,24
133,0,20,50,150,3,73,74,1,156,0,0,10,24,23,133,29,10,19
136,0,20,50,150,3,73,74,1,156,0,0,11,32,20,137,29,11,18
137,0,20,50,150,3,73,74,1,156,0,0,5,9,29,138,30,7,23
141,0,20,50,150,3,73,74,1,156,0,0,8,21,21,127,29,9,20
139,0,20,50,150,3,73,74,1,156,0,0,13,35,19,137,30,13,17
138,0,20,50,150,3,73,74,1,156,0,0,12,43,30,121,28,12,16
140,0,20,50,150,3,73,74,1,156,0,0,11,24,16,139,31,11,20
142,0,20,50,150,3,73,74,1,156,0,0,10,24,24,138,29,11,18
