"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"corrected model 4.nlogox"
"attempt 1"
"07/02/2026 10:41:28:352 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","vaccination-rate","culling-rate","number-people","duration","bite-rate","infectiousness","chance-recover","[step]","total-infected-ever","count turtles","%immune"
"3","0","0","100","3","73","74","1","156","91","23","4.3478260869565215"
"4","0","0","100","3","73","74","1","156","103","7","0"
"6","0","0","100","3","73","74","1","156","97","5","0"
"11","0","0","100","3","73","74","1","156","105","9","33.33333333333333"
"10","0","0","100","3","73","74","1","156","103","14","0"
"1","0","0","100","3","73","74","1","156","104","9","22.22222222222222"
"9","0","0","100","3","73","74","1","156","100","12","16.666666666666664"
"5","0","0","100","3","73","74","1","156","97","17","11.76470588235294"
"8","0","0","100","3","73","74","1","156","103","16","12.5"
"7","0","0","100","3","73","74","1","156","100","6","0"
"12","0","0","100","3","73","74","1","156","94","13","15.384615384615385"
"14","0","0","100","3","73","74","1","156","96","12","8.333333333333332"
"13","0","0","100","3","73","74","1","156","103","7","14.285714285714285"
"16","0","0","100","3","73","74","1","156","106","10","20"
"18","0","0","100","3","73","74","1","156","103","13","23.076923076923077"
"17","0","0","100","3","73","74","1","156","97","13","15.384615384615385"
"20","0","0","100","3","73","74","1","156","102","7","14.285714285714285"
"23","0","0","100","3","73","74","1","156","107","5","0"
"22","0","0","100","3","73","74","1","156","102","14","0"
"19","0","0","100","3","73","74","1","156","95","15","6.666666666666667"
"26","0","0","100","3","73","74","1","156","102","0","0"
"21","0","0","100","3","73","74","1","156","104","9","11.11111111111111"
"24","0","0","100","3","73","74","1","156","104","7","14.285714285714285"
"15","0","0","100","3","73","74","1","156","94","20","0"
"29","0","0","100","3","73","74","1","156","106","8","0"
"25","0","0","100","3","73","74","1","156","97","10","0"
"30","0","0","100","3","73","74","1","156","108","12","8.333333333333332"
"31","0","0","150","3","73","74","1","156","152","2","0"
"27","0","0","100","3","73","74","1","156","101","5","20"
"28","0","0","100","3","73","74","1","156","101","12","0"
"33","0","0","150","3","73","74","1","156","158","2","100"
"32","0","0","150","3","73","74","1","156","149","7","14.285714285714285"
"37","0","0","150","3","73","74","1","156","153","9","33.33333333333333"
"35","0","0","150","3","73","74","1","156","160","4","50"
"34","0","0","150","3","73","74","1","156","151","3","0"
"40","0","0","150","3","73","74","1","156","160","6","50"
"39","0","0","150","3","73","74","1","156","151","13","7.6923076923076925"
"36","0","0","150","3","73","74","1","156","157","7","57.14285714285714"
"43","0","0","150","3","73","74","1","156","154","2","50"
"38","0","0","150","3","73","74","1","156","152","4","50"
"44","0","0","150","3","73","74","1","156","159","0","0"
"42","0","0","150","3","73","74","1","156","158","15","20"
"41","0","0","150","3","73","74","1","156","161","2","50"
"45","0","0","150","3","73","74","1","156","156","6","16.666666666666664"
"48","0","0","150","3","73","74","1","156","154","0","0"
"49","0","0","150","3","73","74","1","156","152","4","75"
"51","0","0","150","3","73","74","1","156","162","6","16.666666666666664"
"46","0","0","150","3","73","74","1","156","161","4","50"
"50","0","0","150","3","73","74","1","156","162","6","16.666666666666664"
"47","0","0","150","3","73","74","1","156","158","11","18.181818181818183"
"52","0","0","150","3","73","74","1","156","156","2","50"
"56","0","0","150","3","73","74","1","156","161","0","0"
"57","0","0","150","3","73","74","1","156","153","4","25"
"58","0","0","150","3","73","74","1","156","152","3","66.66666666666666"
"59","0","0","150","3","73","74","1","156","152","7","0"
"53","0","0","150","3","73","74","1","156","151","0","0"
"55","0","0","150","3","73","74","1","156","163","4","75"
"60","0","0","150","3","73","74","1","156","154","3","0"
"64","0","0","200","3","73","74","1","156","207","6","50"
"67","0","0","200","3","73","74","1","156","204","15","20"
"61","0","0","200","3","73","74","1","156","202","7","0"
"62","0","0","200","3","73","74","1","156","210","2","50"
"65","0","0","200","3","73","74","1","156","209","3","66.66666666666666"
"63","0","0","200","3","73","74","1","156","210","3","66.66666666666666"
"66","0","0","200","3","73","74","1","156","209","1","100"
"54","0","0","150","3","73","74","1","156","158","0","0"
"68","0","0","200","3","73","74","1","156","209","1","100"
"69","0","0","200","3","73","74","1","156","208","1","100"
"71","0","0","200","3","73","74","1","156","202","1","100"
"72","0","0","200","3","73","74","1","156","208","3","33.33333333333333"
"75","0","0","200","3","73","74","1","156","212","8","37.5"
"77","0","0","200","3","73","74","1","156","202","14","21.428571428571427"
"70","0","0","200","3","73","74","1","156","213","1","0"
"73","0","0","200","3","73","74","1","156","201","0","0"
"74","0","0","200","3","73","74","1","156","213","3","33.33333333333333"
"76","0","0","200","3","73","74","1","156","204","2","50"
"81","0","0","200","3","73","74","1","156","205","10","30"
"82","0","0","200","3","73","74","1","156","206","7","28.57142857142857"
"83","0","0","200","3","73","74","1","156","206","4","75"
"79","0","0","200","3","73","74","1","156","211","1","100"
"84","0","0","200","3","73","74","1","156","206","2","50"
"78","0","0","200","3","73","74","1","156","209","1","100"
"88","0","0","200","3","73","74","1","156","211","5","60"
"91","0","20","100","3","73","74","1","156","97","20","0"
"90","0","0","200","3","73","74","1","156","212","7","42.857142857142854"
"80","0","0","200","3","73","74","1","156","206","9","22.22222222222222"
"93","0","20","100","3","73","74","1","156","96","23","4.3478260869565215"
"97","0","20","100","3","73","74","1","156","95","12","8.333333333333332"
"86","0","0","200","3","73","74","1","156","206","0","100"
"95","0","20","100","3","73","74","1","156","100","21","4.761904761904762"
"85","0","0","200","3","73","74","1","156","201","3","66.66666666666666"
"89","0","0","200","3","73","74","1","156","200","2","50"
"96","0","20","100","3","73","74","1","156","95","24","4.166666666666666"
"87","0","0","200","3","73","74","1","156","211","13","15.384615384615385"
"99","0","20","100","3","73","74","1","156","91","18","0"
"94","0","20","100","3","73","74","1","156","87","22","0"
"102","0","20","100","3","73","74","1","156","96","21","0"
"100","0","20","100","3","73","74","1","156","98","27","0"
"92","0","20","100","3","73","74","1","156","91","23","0"
"105","0","20","100","3","73","74","1","156","103","22","0"
"107","0","20","100","3","73","74","1","156","103","10","0"
"98","0","20","100","3","73","74","1","156","98","17","0"
"104","0","20","100","3","73","74","1","156","89","20","0"
"103","0","20","100","3","73","74","1","156","85","22","0"
"110","0","20","100","3","73","74","1","156","98","22","9.090909090909092"
"109","0","20","100","3","73","74","1","156","89","23","0"
"106","0","20","100","3","73","74","1","156","93","21","0"
"111","0","20","100","3","73","74","1","156","96","18","0"
"101","0","20","100","3","73","74","1","156","89","27","3.7037037037037033"
"108","0","20","100","3","73","74","1","156","77","41","2.4390243902439024"
"112","0","20","100","3","73","74","1","156","100","21","4.761904761904762"
"116","0","20","100","3","73","74","1","156","92","13","7.6923076923076925"
"113","0","20","100","3","73","74","1","156","82","40","0"
"117","0","20","100","3","73","74","1","156","102","5","0"
"118","0","20","100","3","73","74","1","156","95","21","0"
"114","0","20","100","3","73","74","1","156","103","11","9.090909090909092"
"115","0","20","100","3","73","74","1","156","98","26","0"
"123","0","20","150","3","73","74","1","156","151","5","0"
"122","0","20","150","3","73","74","1","156","157","3","0"
"125","0","20","150","3","73","74","1","156","149","10","0"
"121","0","20","150","3","73","74","1","156","155","14","0"
"126","0","20","150","3","73","74","1","156","155","12","0"
"120","0","20","100","3","73","74","1","156","74","60","0"
"119","0","20","100","3","73","74","1","156","90","32","0"
"124","0","20","150","3","73","74","1","156","147","22","0"
"127","0","20","150","3","73","74","1","156","161","1","0"
"130","0","20","150","3","73","74","1","156","150","5","0"
"129","0","20","150","3","73","74","1","156","153","2","0"
"128","0","20","150","3","73","74","1","156","151","19","0"
"131","0","20","150","3","73","74","1","156","145","12","0"
"132","0","20","150","3","73","74","1","156","148","14","0"
"134","0","20","150","3","73","74","1","156","153","6","16.666666666666664"
"138","0","20","150","3","73","74","1","156","154","8","0"
"135","0","20","150","3","73","74","1","156","139","18","0"
"137","0","20","150","3","73","74","1","156","157","7","28.57142857142857"
"133","0","20","150","3","73","74","1","156","149","7","0"
"136","0","20","150","3","73","74","1","156","148","20","0"
"139","0","20","150","3","73","74","1","156","150","16","0"
"140","0","20","150","3","73","74","1","156","148","8","0"
"144","0","20","150","3","73","74","1","156","146","14","0"
"141","0","20","150","3","73","74","1","156","156","3","0"
"143","0","20","150","3","73","74","1","156","161","12","8.333333333333332"
"145","0","20","150","3","73","74","1","156","164","0","0"
"146","0","20","150","3","73","74","1","156","153","2","0"
"147","0","20","150","3","73","74","1","156","151","5","0"
"142","0","20","150","3","73","74","1","156","144","22","0"
"150","0","20","150","3","73","74","1","156","150","15","6.666666666666667"
"152","0","20","200","3","73","74","1","156","207","0","0"
"151","0","20","200","3","73","74","1","156","194","3","0"
"149","0","20","150","3","73","74","1","156","141","15","0"
"148","0","20","150","3","73","74","1","156","147","15","0"
"154","0","20","200","3","73","74","1","156","207","5","0"
"158","0","20","200","3","73","74","1","156","207","1","0"
